experiment,participant,condition,Player,Creature,Player1,Player2
1,ASD,LEGO,Player2,Creature2,04:18.7,04:51.1
2,ASD,LEGO,Player1,Creature2,01:24.4,01:16.1
3,ASD,LOF,Player1,Creature1,01:19.6,01:30.0
4,ASD,LOF,Player1,Creature2,03:35.4,03:27.5
5,ASD,LEGO,Player1,Creature2,04:33.6,04:28.2
6,ASD,LOF,Player1,Creature1,04:05.6,04:11.3
7,ASD,LOF,Player1,Creature2,00:58.6,00:51.3
8,ASD,LEGO,Player1,Creature2,02:57.4,02:51.7
9,ASD,LEGO,Player1,Creature2,01:10.8,0:00:53
10,,,,,,
11,ASD,LEGO,Player2,Creature2,00:48.0,00:54.9
12,ASD,LOF,Player2,Creature2,01:12.7,01:20.9
13,ASD,LEGO,Player1,Creature2,02:27.8,02:16.6
14,ASD,LOF,Player1,Creature1,02:19.3,02:26.6
15,ASD,LEGO,Player2,Creature2,03:12.7,03:21.0
16,ASD,LEGO,Player1,Creature1,01:44.1,01:49.4
17,ASD,LOF,Player1,Creature1,04:25.7,04:35.6
18,ASD,LOF,Player1,Creature2,00:40.4,00:36.1
19,ASD,LOF,Player1,Creature2,06:00.7,03:50.3
20,ASD,LEGO,Player1,Creature2,03:44.8,03:37.1
21,ASD,LOF,Player1,Creature1,02:47.0,02:58.9
22,ASD,LEGO,Player2,Creature2,02:30.7,02:35.9
23,ASD,LOF,Player1,Creature1,02:08.9,02:35.9
24,ASD,LEGO,Player1,Creature2,01:38.9,01:31.6
25,ASD,LOF,Player1,Creature2,03:12.7,03:18.9
26,ASD,LEGO,Player1,Creature1,02:13.8,02:24.9
27,ASD,LEGO,Player1,Creature2,02:11.6,02:06.5
28,ASD,LEGO,Player1,Creature2,03:54.4,03:50.0
29,ASD,LOF,Player2,Creature2,01:43.5,01:38.8
30,,,Player1,,,
31,,,Player1,,,
32,ASD,LOF,Player1,Creature2,03:03.8,02:56.0
33,ASD,LEGO,Player1,Creature1,02:43.7,02:47.1
34,ASD,LEGO,Player1,Creature1,01:42.5,01:49.8
35,,,,,,
36,,,,,,
